Time,ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),319A Temp (ºF),66NA Temp (ºF),Motor Temp,App message
59.784635,1700,,0.284294948,3.995400838,23.37261481,14.07266173,6372,328.913804,257.211594,78.20473748,0.015533552,0.012148025,77.675,76.325,80.24,
60.33250775,1700,,0.282077901,3.95543585,23.37702801,13.99529174,6372,327.168053,255.2100771,78.00723245,0.015498774,0.012090155,77.675,76.325,80.2625,
60.87417225,1700,,0.281142742,3.911480504,23.39191378,13.76981437,6373,322.1014113,254.3762357,78.97736093,0.015376631,0.012143933,77.675,76.325,80.34125,
61.41265325,1700,,0.276883215,3.857626379,23.39981014,13.66161807,6372,319.6788006,250.5012755,78.36327682,0.015399788,0.012067656,77.675,76.325,80.375,
61.937352,1700,,0.272180152,3.830125098,23.40565291,13.57724591,6372,317.7840266,246.2611378,77.4935698,0.015553089,0.012052635,77.725625,76.325,80.425625,
62.456707,1700,,0.278814398,3.87733124,23.39587217,13.70601341,6372,320.6636655,252.2607517,78.66928673,0.015370564,0.012091965,77.7875,76.325,80.4875,
62.9485325,1700,,0.280025256,3.91378327,23.38604669,13.8338507,6373,323.5184827,253.3627369,78.31818262,0.015447424,0.012098062,77.7875,76.325,80.4875,
63.436209,1700,,0.281787964,3.915641505,23.37589869,13.96303121,6382,326.3960093,255.3523844,78.24610724,0.01533454,0.011998636,77.7875,76.325,80.6,
63.93016775,1700,,0.279956112,3.915675971,23.37756528,13.927449,6372,325.5894324,253.2903198,77.79463102,0.015459615,0.012026677,77.7875,76.325,80.6,
64.4222715,1700,,0.279427785,3.918837755,23.37975204,13.88332344,6372,324.588432,252.817183,77.88907544,0.015500847,0.012073396,77.84375,76.325,80.6,
64.9716585,1700,,0.28402236,3.956886288,23.3738265,13.95260811,6372,326.1255103,256.9694883,78.79493337,0.015398279,0.01213305,77.9,76.325,80.6,
65.49469225,1700,,0.289948166,4.066973737,23.35636551,14.18357793,6372,331.2759322,262.3322981,79.18987292,0.01550296,0.01227676,77.9,76.325,80.628125,
66.0309945,1700,,0.290341606,4.055741786,23.35175213,14.22979014,6373,332.2900369,262.6991526,79.05899904,0.015438762,0.012205694,77.9,76.325,80.7125,
66.53726175,1700,,0.283731164,3.980793148,23.365435,14.01437142,6378,327.4499007,256.9284088,78.46847787,0.015494302,0.012157718,77.9,76.325,80.7125,
67.07414625,1700,,0.277399818,3.917213964,23.38323508,13.76694436,6372,321.9153038,250.9820617,77.96752568,0.015607685,0.012168694,77.9,76.325,80.819375,
67.609706,1700,,0.279865643,3.951731064,23.3818837,13.77529762,6372,322.0920849,253.2113453,78.61701789,0.015606502,0.012269275,77.9,76.325,80.825,
68.123556,1700,,0.279536414,3.949760199,23.38836458,13.67050737,6372,319.7306316,252.9136984,79.10343354,0.015617146,0.012353587,77.973125,76.325,80.898125,
68.63753,1700,,0.280214266,3.927899711,23.37508702,13.85368654,6373,323.830948,253.5315465,78.29166128,0.015493028,0.012129636,78.0125,76.325,80.9375,
69.15178975,1700,,0.281584597,3.938563543,23.36737294,13.95455806,6373,326.0798389,254.8054535,78.14949085,0.015457167,0.012079781,78.0125,76.325,80.97125,
69.6858905,1700,,0.282121288,3.935061622,23.37455443,13.83989888,6372,323.5009999,255.2456997,78.90376997,0.015416765,0.012164414,78.0125,76.325,81.05,
70.19301025,1700,,0.281991056,3.928035337,23.37780613,13.78245764,6372,322.2029539,255.134395,79.18789223,0.015395975,0.012191714,78.0125,76.325,81.05,
70.7166,1700,,0.281541088,3.923877483,23.36631499,13.93464972,6378,325.6004902,254.9531655,78.30651188,0.015390724,0.012051928,78.0125,76.325,81.156875,
