Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),319A Temp (ºF),66NA Temp (ºF),4LHE Temp (ºF),App message
41.816249,1700,,0.366040023,5.23484013,22.89170096,19.72514985,7097,451.5419495,368.8403705,81.68468083,0.014192896,0.011593286,74.075,71.7125,76.4375,
42.319126,1700,,0.36482271,5.224204993,22.89482389,19.67855192,7097,450.5368478,367.6153099,81.59512697,0.01421105,0.01159551,74.075,71.7125,76.465625,
42.8174655,1700,,0.36630388,5.221203166,22.891549,19.71845027,7096,451.3847706,369.0332191,81.75802239,0.014148361,0.011567508,74.075,71.7125,76.55,
43.31507425,1700,,0.36434264,5.197882196,22.89020535,19.73350713,7100,451.7033639,367.3044454,81.31524342,0.014151933,0.01150749,74.075,71.7125,76.55,
43.816329,1700,,0.363162172,5.199305587,22.89262749,19.69910331,7090,450.9640708,365.5783195,81.06642119,0.014222137,0.011529411,74.075,71.7125,76.64,
44.3156725,1700,,0.362961074,5.214516621,22.89055837,19.71940885,7084,451.388175,365.0861856,80.88082091,0.01428301,0.011552205,74.075,71.7125,76.6625,
44.81688225,1700,,0.366387888,5.244408462,22.88564067,19.77444161,7076,452.5507067,368.1119049,81.34145562,0.014246774,0.011588535,74.075,71.7125,76.7075,
45.31541625,1700,,0.367268413,5.275288529,22.88033335,19.8365981,7078,453.8678501,369.1064526,81.3248194,0.014292065,0.011623006,74.075,71.7125,76.775,
45.8163485,1700,,0.363023279,5.220747255,22.89066369,19.69523868,7090,450.8369734,365.4592932,81.06236561,0.014285396,0.011580094,74.075,71.7125,76.775,
46.31599925,1700,,0.361884268,5.164633521,22.89278974,19.67149882,7101,450.3349552,364.8378375,81.01612855,0.014155976,0.011468668,74.181875,71.7125,76.881875,
46.8156305,1700,,0.363558249,5.196479411,22.89212311,19.67693795,7090,450.4468504,365.9911531,81.25074329,0.014198454,0.011536296,74.1875,71.7125,76.8875,
47.3196845,1700,,0.366345066,5.210068138,22.88774917,19.73573865,7086,451.7065526,368.5486027,81.59048129,0.014136662,0.011534197,74.1875,71.7125,76.949375,
47.818372,1700,,0.369201943,5.278259692,22.88443988,19.7662586,7073,452.3395399,370.7577539,81.96431803,0.014236403,0.011668765,74.1875,71.7125,77,
48.32236,1700,,0.373665696,5.302533774,22.87574277,19.87617046,7073,454.6817814,375.2706687,82.53542561,0.014130018,0.01166222,74.1875,71.70125,77,
48.8184475,1700,,0.371939211,5.248610599,22.88404957,19.75899363,7096,452.1651624,374.7133404,82.8701519,0.014007852,0.011607842,74.1875,71.6,77,
49.31529675,1700,,0.365726859,5.215141094,22.88983733,19.69157631,7088,450.7369127,368.0520128,81.65561401,0.014169638,0.011570268,74.1875,71.6,77,
49.81520975,1700,,0.367171972,5.234294107,22.88620774,19.73338392,7092,451.6217977,369.7051683,81.86219819,0.014158124,0.011590085,74.260625,71.6,77.073125,
50.33434425,1700,,0.363730878,5.207217108,22.88682147,19.72608544,7088,451.4672649,366.0356007,81.07741625,0.014226039,0.011534015,74.3,71.6,77.1125,
50.849459,1700,,0.364375101,5.231688654,22.88530539,19.74308188,7083,451.8264004,366.416841,81.09696802,0.014278007,0.011578995,74.3,71.639375,77.151875,
51.34824525,1700,,0.366338058,5.250636426,22.87870768,19.82725038,7077,453.6218118,368.1056036,81.14813016,0.014264039,0.011574935,74.3,71.7125,77.225,
51.8477425,1700,,0.368599254,5.255663322,22.88375588,19.75194561,7080,451.9985995,370.5146901,81.97286765,0.014184769,0.011627637,74.3,71.7125,77.225,
52.349081,1700,,0.366910024,5.214430161,22.8878769,19.69591373,7088,450.7976186,369.2302495,81.90594034,0.014122446,0.011567114,74.40125,71.61125,77.32625,
52.848646,1700,,0.362526928,5.187440376,22.8874657,19.70427458,7095,450.9808822,365.1937722,80.97771171,0.014204614,0.011502568,74.4125,71.6,77.3375,
53.3479365,1700,,0.362636514,5.190006731,22.88860602,19.69245192,7093,450.7327186,365.2258889,81.0295141,0.01421041,0.011514603,74.4125,71.6,77.39375,
53.84031675,1700,,0.362175379,5.147425945,22.89547793,19.59836685,7106,448.7138781,365.3930111,81.43150803,0.014087403,0.011471514,74.4125,71.6,77.45,
54.3425765,1700,,0.363970345,5.154647294,22.89101683,19.65370121,7102,449.8927225,367.000039,81.57529845,0.014045379,0.011457562,74.4125,71.6,77.455625,
54.84237875,1700,,0.36151777,5.145038444,22.89094073,19.65248881,7113,449.8634036,365.1054392,81.15967129,0.014092032,0.011437036,74.4125,71.6,77.5625,
55.3402425,1700,,0.362857666,5.163839942,22.89356913,19.61540935,7101,449.0665956,365.8585658,81.471347,0.014114511,0.011499017,74.4125,71.6,77.5625,
55.843359,1700,,0.359613848,5.069262533,22.90734372,19.42666493,7122,445.0127489,363.6160917,81.70866184,0.013941305,0.011391248,74.4125,71.6675,77.6975,
56.344718,1700,,0.354016018,4.990400726,22.91484167,19.33754649,7127,443.1167336,358.2481481,80.84759356,0.013930252,0.011262044,74.4125,71.7125,77.7875,
56.84401325,1700,,0.353918483,5.053210858,22.91076933,19.39134626,7116,444.2705751,357.5781074,80.48682934,0.014131772,0.011374201,74.435,71.7125,77.81,
57.348757,1700,,0.354458738,5.072539108,22.90712476,19.4366239,7114,445.2369301,358.0404679,80.41615283,0.014167481,0.011392868,74.525,71.7125,77.9,
57.84682775,1700,,0.355964601,5.119276756,22.89633337,19.57168291,7110,448.11897,359.3388884,80.18926401,0.014246441,0.011424141,74.525,71.7125,77.9,
58.344315,1700,,0.355086303,5.132765765,22.89633376,19.56583231,7102,447.985788,358.0748655,79.9300926,0.01433436,0.011457446,74.525,71.7125,77.9,
58.840998,1700,,0.356935633,5.14197307,22.89226623,19.61985092,7102,449.1428348,359.9388689,80.13905442,0.014285858,0.01144842,74.525,71.7125,77.9,
59.344432,1700,,0.361431119,5.179781911,22.89216835,19.61449036,7097,449.0181685,364.1848794,81.1067496,0.014222994,0.01153578,74.525,71.67875,77.93375,
59.84389025,1700,,0.364123643,5.204875642,22.88189567,19.74254861,7099,451.7463599,367.0330921,81.24825049,0.014181066,0.011521858,74.525,71.6,78.0125,
60.34113,1700,,0.362779101,5.211473818,22.8887718,19.64595484,7089,449.671707,365.1256623,81.19840489,0.014273111,0.011589535,74.525,71.6,78.0125,
60.85028575,1700,,0.366347703,5.247811084,22.88025439,19.74962942,7077,451.8763092,368.1301253,81.46668369,0.014255374,0.01161335,74.620625,71.695625,78.0125,
61.34279725,1700,,0.366781131,5.213370122,22.88383519,19.6957979,7098,450.7141071,369.6455422,82.01445615,0.014103447,0.011566747,74.6375,71.7125,78.0125,
61.8417085,1700,,0.358898456,5.081782495,22.90911396,19.36614103,7120,443.6610516,362.8027165,81.77455348,0.014006935,0.011454163,74.6375,71.661875,78.063125,
62.3428155,1700,,0.360923623,5.066004507,22.90336645,19.45458744,7109,445.5754287,364.3098945,81.76123326,0.01390572,0.011369515,74.6375,71.6,78.125,
62.8433185,1700,,0.366282342,5.15836927,22.893908,19.56759337,7096,447.9782481,369.0085125,82.37194997,0.013978984,0.01151478,74.643125,71.605625,78.13625,
63.344916,1700,,0.367695619,5.186414761,22.88672314,19.65863104,7090,449.9215065,370.1593511,82.27178572,0.014011382,0.011527384,74.75,71.7125,78.35,
